title,gross,lifetime_gross,movie_facebook_likes,imdb_score,title_year,actor_1_name,actor_2_name,actor_3_name
Colombiana,36665854.0,36665854,15000,6.4,2011.0,Jordi Mollà,Callum Blue,Jesse Borrego
The Impossible,18996755.0,19019882,54000,7.6,2012.0,Naomi Watts,Geraldine Chaplin,Oaklee Pendergast
Fantastic Mr. Fox,20999103.0,21002919,15000,7.8,2009.0,Bill Murray,Meryl Streep,Helen McCrory
Big Miracle,20113965.0,20157300,0,6.5,2012.0,Ted Danson,Tim Blake Nelson,Andrew Daly
Cirque du Freak: The Vampire's Assistant,13838130.0,13869515,0,5.9,2009.0,Josh Hutcherson,Salma Hayek,Patrick Fugit
Soul Men,12081447.0,12082391,866,6.5,2008.0,Bernie Mac,Sean Hayes,Mike Epps
Pandorum,10326062.0,10330853,10000,6.8,2009.0,Norman Reedus,Dennis Quaid,Eddie Rouse
A Thousand Words,18438149.0,18450127,0,5.9,2012.0,John Gatins,Lou Saliba,Greg Collins
Delgo,511920.0,694782,211,4.4,2008.0,Eric Idle,Anne Bancroft,Kelly Ripa
The Gunman,10640645.0,10664749,0,5.8,2015.0,Ray Winstone,Mark Rylance,Jasmine Trinca
Snowpiercer,4563029.0,4563650,58000,7.0,2013.0,Chris Evans,Ewen Bremner,Kang-ho Song
Baahubali: The Beginning,6498000.0,6738000,21000,8.4,2015.0,Tamannaah Bhatia,Anushka Shetty,Prabhas
The Time Traveler's Wife,63411478.0,63414846,13000,7.1,2009.0,Arliss Howard,Brooklynn Proulx,Michelle Nolden
Frankenweenie,35287788.0,35291068,25000,7.0,2012.0,Martin Landau,Catherine O'Hara,Atticus Shaffer
Grudge Match,29802761.0,29807260,12000,6.4,2013.0,Robert De Niro,Sylvester Stallone,Oscar Gale
Red Cliff,626809.0,627047,0,7.4,2008.0,Takeshi Kaneshiro,Tony Chiu Wai Leung,Wei Zhao
The Ugly Truth,88915214.0,88915214,9000,6.5,2009.0,Gerard Butler,John Michael Higgins,Eric Winter
The Grandmaster,6594136.0,6594959,13000,6.5,2013.0,Tony Chiu Wai Leung,Hye-kyo Song,Elvis Tsui
Water for Elephants,58700247.0,58709717,33000,6.9,2011.0,Robert Pattinson,Christoph Waltz,James Frain
Paul Blart: Mall Cop 2,71038190.0,71038190,8000,4.4,2015.0,D.B. Woodside,Daniella Alonso,Eduardo Verástegui
Riddick,41997790.0,42025135,39000,6.4,2013.0,Vin Diesel,Nolan Gerard Funk,Bokeem Woodbine
City of Ember,7871693.0,7873007,0,6.5,2008.0,Bill Murray,Toby Jones,Harry Treadaway
The Master,16377274.0,16377274,27000,7.1,2012.0,Mike Howard,Jeffrey W. Jenkins,Bruce Goodchild
The Express,9589875.0,9793406,0,7.3,2008.0,Dennis Quaid,Nicole Beharie,Charles S. Dutton
The 5th Wave,34912982.0,34916787,14000,5.2,2016.0,Chloë Grace Moretz,Maggie Siff,Nick Robinson
Creed,109712885.0,109767581,70000,7.7,2015.0,Sylvester Stallone,Phylicia Rashad,Graham McTavish
The Town,92173235.0,92186262,29000,7.6,2010.0,Jeremy Renner,Jon Hamm,Owen Burke
What to Expect When You're Expecting,41102171.0,41152203,14000,5.7,2012.0,Anna Kendrick,Dennis Quaid,Thomas Lennon
Burn After Reading,60338891.0,60355347,0,7.0,2008.0,J.K. Simmons,Brad Pitt,Kevin Sussman
Nim's Island,48006503.0,48006762,0,6.0,2008.0,Gerard Butler,Anthony Simcoe,Christopher James Baker
Rush,26903709.0,7241350,83000,8.1,2013.0,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara
Cop Out,44867349.0,44875481,0,5.6,2010.0,Bruce Willis,Tracy Morgan,Kevin Pollak
How to Be Single,46813366.0,46843513,15000,6.1,2016.0,Alison Brie,Damon Wayans Jr.,Nicholas Braun
Dolphin Tale,72279690.0,72286779,0,6.9,2011.0,Morgan Freeman,Michael Roark,Harry Connick Jr.
Twilight,191449475.0,192769854,19000,5.2,2008.0,Kristen Stewart,Taylor Lautner,Anna Kendrick
Twilight,191449475.0,192769854,19000,5.2,2008.0,Kristen Stewart,Taylor Lautner,Anna Kendrick
We're the Millers,150368971.0,150394119,35000,7.0,2013.0,Laura-Leigh,Molly C. Quinn,Thomas Lennon
Hot Tub Time Machine,50213619.0,50287556,12000,6.4,2010.0,Charlie McDermott,Collette Wolfe,Crystal Lowe
Dolphin Tale 2,42019483.0,42024533,0,6.4,2014.0,Morgan Freeman,Taylor Blackwell,Harry Connick Jr.
Aloha,20991497.0,21067116,11000,5.4,2015.0,Emma Stone,Bradley Cooper,Bill Murray
Aloha,20991497.0,21067116,11000,5.4,2015.0,Emma Stone,Bradley Cooper,Bill Murray
The Rite,33037754.0,33047633,23000,6.0,2011.0,Anthony Hopkins,Colin O'Donoghue,Toby Jones
Space Chimps,30105968.0,30105968,279,4.5,2008.0,Cheryl Hines,Kenan Thompson,Omid Abtahi
The Hangover,277313371.0,277322503,24000,7.8,2009.0,Bradley Cooper,Rob Riggle,Mike Epps
Ip Man 3,2126511.0,2679437,12000,7.2,2015.0,Mike Tyson,Lynn Hung,Kwok-Kwan Chan
There Be Dragons,1068392.0,1069334,2000,5.9,2011.0,Jordi Mollà,Dougray Scott,Lily Cole
The Blind Side,255950375.0,255959475,38000,7.7,2009.0,Catherine Dyer,Quinton Aaron,Kim Dickens
Horrible Bosses,117528646.0,117538559,31000,6.9,2011.0,Kevin Spacey,Lindsay Sloane,Reginald Ballard
True Grit,171031347.0,171243005,36000,7.7,2010.0,Matt Damon,Jeff Bridges,Bruce Green
Identity Thief,134455175.0,134506920,17000,5.7,2013.0,Jon Favreau,Eric Stonestreet,T.I.
21,81159365.0,81159365,0,6.8,2008.0,Kevin Spacey,Jim Sturgess,Josh Gad
Trainwreck,110008260.0,110212700,25000,6.3,2015.0,Amy Schumer,Randall Park,Josh Segarra
Secretariat,59699513.0,59713955,0,7.2,2010.0,Scott Glenn,Kevin Connolly,Dylan Walsh
Friends with Benefits,55802754.0,55802754,41000,6.6,2011.0,Mila Kunis,Justin Timberlake,Masi Oka
Neighbors 2: Sorority Rising,55291815.0,55455765,0,6.0,2016.0,Chloë Grace Moretz,Ike Barinholtz,Kiersey Clemons
Saving Mr. Banks,83299761.0,83301580,39000,7.5,2013.0,Tom Hanks,Ruth Wilson,B.J. Novak
This Is 40,67523385.0,67544505,18000,6.2,2012.0,Charlyne Yi,Maude Apatow,Mackenzie Aladjem
Old Dogs,49474048.0,49492060,0,5.4,2009.0,Robin Williams,Bernie Mac,Ann-Margret
Underworld: Rise of the Lycans,45802315.0,45802315,0,6.6,2009.0,Craig Parker,Kevin Grevioux,Steven Mackintosh
Max Payne,40687294.0,40689393,0,5.4,2008.0,Mila Kunis,Beau Bridges,Jamie Hector
In Time,37553932.0,37520095,52000,6.7,2011.0,Matt Bomer,Olivia Wilde,Justin Timberlake
Something Borrowed,39026186.0,39046489,13000,5.9,2011.0,Ashley Williams,Steve Howey,Kirsten Day
J. Edgar,37304950.0,37306030,16000,6.6,2011.0,Leonardo DiCaprio,Naomi Watts,Kaitlyn Dever
Mirrors,30691439.0,30691439,5000,6.2,2008.0,Jason Flemyng,Cameron Boyce,Julian Glover
Untraceable,28687835.0,28687835,0,6.2,2008.0,Billy Burke,Jesse Tyler Ferguson,Joseph Cross
Alex Cross,25863915.0,25888412,11000,5.1,2012.0,Cicely Tyson,Chad Lindberg,Carmen Ejogo
Heist,,23510841,0,6.1,2015.0,Robert De Niro,Joshua Mikel,D.B. Sweeney
Heist,,23510841,0,6.1,2015.0,Robert De Niro,Joshua Mikel,D.B. Sweeney
Nanny McPhee Returns,28995450.0,29011215,0,6.1,2010.0,Daniel Mays,Bill Bailey,Eros Vlahos
Concussion,34531832.0,42606,23000,7.1,2015.0,Will Smith,Eddie Marsan,Albert Brooks
Abduction,28064226.0,28087155,13000,5.0,2011.0,Ken Arnold,Benjamin J. Cain Jr.,Richard Cetrone
Superhero Movie,25871834.0,25881068,0,4.5,2008.0,Drake Bell,Tracy Morgan,Marion Ross
Broken City,19692608.0,19701164,0,6.2,2013.0,Alona Tal,James Ransone,Michael Beach
Premium Rush,20275446.0,20275446,20000,6.5,2012.0,Joseph Gordon-Levitt,Dania Ramirez,Aasif Mandvi
Hot Pursuit,34507079.0,34580201,0,5.1,2015.0,Jim Gaffigan,Richard T. Jones,Michael Mosley
Hot Pursuit,34507079.0,4215849,0,5.1,2015.0,Jim Gaffigan,Richard T. Jones,Michael Mosley
Parker,17609982.0,17616641,17000,6.2,2013.0,Jason Statham,Clifton Collins Jr.,Wendell Pierce
Furry Vengeance,17596256.0,17630465,0,3.8,2010.0,Brendan Fraser,Brooke Shields,Matt Prokop
Bait,,15325127,0,5.2,2012.0,Alex Russell,Cariba Heine,Richard Brancatisano
The Young Victoria,10991381.0,11001272,0,7.3,2009.0,Michiel Huisman,Jim Broadbent,Thomas Kretschmann
Whiteout,10268846.0,10275638,0,5.5,2009.0,Tom Skerritt,Bashar Rahal,Shawn Doyle
The Tree of Life,13303319.0,13303319,39000,6.7,2011.0,Brad Pitt,Tye Sheridan,Fiona Shaw
Punisher: War Zone,7948159.0,8050977,0,6.0,2008.0,Julie Benz,Wayne Knight,Colin Salmon
The Walk,10137502.0,10137502,24000,7.4,2015.0,Joseph Gordon-Levitt,Soleyman Pierini,Jade Kindar-Martin
Biutiful,5100937.0,5101237,29000,7.5,2010.0,Maricel Álvarez,Hanaa Bouchaib,Eduard Fernández
The Maze Runner,102413606.0,102427862,38000,6.8,2014.0,Ki Hong Lee,Aml Ameen,Jacob Latimore
Unfinished Business,10214013.0,10219501,0,5.4,2015.0,Tom Wilkinson,June Diane Raphael,Melissa McMeekin
Stolen,183125.0,132596,0,5.5,2012.0,Nicolas Cage,Mark Valley,Sami Gayle
Ponyo,15081783.0,15090399,0,7.7,2008.0,Rumi Hiiragi,Yûki Amami,Yuria Nara
The Longest Ride,37432299.0,37446117,23000,7.1,2015.0,Tiago Riani,Melissa Benoist,Hayley Lovitt
Playing for Keeps,13101142.0,13102272,0,5.7,2012.0,Gerard Butler,Dennis Quaid,Judy Greer
Mandela: Long Walk to Freedom,8324748.0,8323085,13000,7.1,2013.0,Terry Pheto,Fana Mokoena,Tony Kgoroge
The Darkest Hour,21426805.0,21443494,0,4.9,2011.0,Max Minghella,Veronika Vernadskaya,Dato Bakhtadze
Step Up Revolution,35057332.0,35074677,19000,6.5,2012.0,Ryan Guzman,Stephen Boss,Misha Gabriel Hamilton
Safe,17120019.0,512245,12000,6.5,2012.0,Jason Statham,Reggie Lee,Robert John Burke
Doomsday,10955425.0,11008770,0,6.0,2008.0,Ryan Kruger,Jason Cope,Jeremy Crutchley
The Reader,34180954.0,34194407,15000,7.6,2008.0,Kate Winslet,David Kross,Susanne Lothar
Wanderlust,17225675.0,17450535,0,5.6,2012.0,Justin Theroux,Lauren Ambrose,Joe Lo Truglio
Bridesmaids,169076745.0,169106725,27000,6.8,2011.0,Matt Lucas,Wendi McLendon-Covey,Steve Bannos
Takers,57744720.0,57744720,0,6.2,2010.0,Paul Walker,Hayden Christensen,Jay Hernandez
The Big Wedding,21784432.0,21819348,0,5.6,2013.0,Robin Williams,Robert De Niro,Topher Grace
"Big Mommas: Like Father, Like Son",37911876.0,37915414,0,4.4,2011.0,Brandon T. Jackson,Tony Curran,Portia Doubleday
Source Code,54696902.0,54712227,56000,7.5,2011.0,Jake Gyllenhaal,Cas Anvar,Russell Peters
Repo Men,13763130.0,13794835,12000,6.3,2010.0,Alice Braga,RZA,Yvette Nicole Brown
The Incredible Burt Wonderstone,22525921.0,22537881,13000,5.9,2013.0,Steve Buscemi,Olivia Wilde,Steve Carell
Going the Distance,17797316.0,17804299,0,6.3,2010.0,Rob Riggle,Kelli Garner,Jim Gaffigan
Criminal,14268533.0,929233,0,6.3,2016.0,Gary Oldman,Jordi Mollà,Doug Cockle
Flight,93749203.0,93772375,64000,7.3,2012.0,Denzel Washington,Bruce Greenwood,Nadine Velazquez
The Grand Budapest Hotel,59073773.0,59301324,149000,8.1,2014.0,Bill Murray,Tom Wilkinson,F. Murray Abraham
Vacation,58879132.0,58884188,28000,6.1,2015.0,Chris Hemsworth,Norman Reedus,Beverly D'Angelo
The Vow,125014030.0,125014030,32000,6.8,2012.0,Channing Tatum,Lucas Bryant,Dillon Casey
Extraordinary Measures,11854694.0,12068313,0,6.5,2010.0,Harrison Ford,Brendan Fraser,Alan Ruck
Lee Daniels' The Butler,116631310.0,116632095,41000,7.2,2013.0,Alex Pettyfer,David Oyelowo,Vanessa Redgrave
District 9,115646235.0,115646235,22000,8.0,2009.0,Sharlto Copley,Jed Brophy,Jason Cope
27 Dresses,76806312.0,76808654,0,6.1,2008.0,Judy Greer,Bern Cohen,Yetta Gottesman
Up in the Air,83813460.0,83823381,19000,7.4,2009.0,J.K. Simmons,Anna Kendrick,Chris Lowell
Warm Bodies,66359959.0,66380662,81000,6.9,2013.0,Cory Hardrict,Vincent Leclerc,Daniel Rindress-Kay
Looper,66468315.0,66486205,75000,7.4,2012.0,Joseph Gordon-Levitt,Bruce Willis,Tracie Thoms
Hope Springs,63536011.0,63536011,0,6.3,2012.0,Meryl Streep,Steve Carell,Jean Smart
Forgetting Sarah Marshall,62877175.0,63172463,0,7.2,2008.0,Mila Kunis,Jack McBrayer,Maria Thayer
Baby Mama,60269340.0,60494212,0,6.0,2008.0,Tina Fey,Amy Poehler,Romany Malco
Bride Wars,58715510.0,58715510,0,5.4,2009.0,Anne Hathaway,Steve Howey,Candice Bergen
Midnight in Paris,56816662.0,56817045,78000,7.7,2011.0,Kurt Fuller,Audrey Fleurot,Nina Arianda
The Nut Job,64238770.0,64251541,0,5.8,2014.0,Liam Neeson,Brendan Fraser,Sarah Gadon
Letters to Juliet,53021560.0,53032453,13000,6.5,2010.0,Vanessa Redgrave,Marcia DeBonis,Luisa Ranieri
The Three Stooges,44328238.0,44338224,13000,5.1,2012.0,Kate Upton,Larry David,Sean Hayes
Sicario,46875468.0,46889293,59000,7.6,2015.0,Edgar Arreola,Bernardo Saracino,Daniel Kaluuya
Southpaw,52418902.0,52421953,44000,7.5,2015.0,Jake Gyllenhaal,50 Cent,Oona Laurence
Drag Me to Hell,42057340.0,42100625,11000,6.6,2009.0,Bojana Novakovic,Alison Lohman,Reggie Lee
The Age of Adaline,42478175.0,42629776,34000,7.2,2015.0,Harrison Ford,Michiel Huisman,Ellen Burstyn
The Cabin in the Woods,42043633.0,42073277,66000,7.0,2012.0,Chris Hemsworth,Bradley Whitford,Kristen Connolly
Meet the Spartans,38232624.0,38233676,0,2.7,2008.0,Carmen Electra,Diedrich Bader,Method Man
Hanna,40247512.0,40259119,38000,6.8,2011.0,Jessica Barden,Vicky Krieps,John Macmillan
Larry Crowne,35565975.0,35608245,0,6.1,2011.0,Tom Hanks,Rob Riggle,Randall Park
Carrie,35266619.0,33800000,39000,5.9,2013.0,Chloë Grace Moretz,Judy Greer,Portia Doubleday
Carrie,35266619.0,33800000,39000,5.9,2013.0,Chloë Grace Moretz,Judy Greer,Portia Doubleday
9,31743332.0,31749894,13000,7.1,2009.0,Martin Landau,Alan Oppenheimer,Tom Kane
Side Effects,32154410.0,2216,29000,7.1,2013.0,Channing Tatum,David Costabile,Katie Lowes
Side Effects,32154410.0,2216,29000,7.1,2013.0,Channing Tatum,David Costabile,Katie Lowes
Winnie the Pooh,26687172.0,26692846,0,7.3,2011.0,Craig Ferguson,Robert Lopez,Huell Howser
Sanctum,23070045.0,23209310,11000,5.9,2011.0,Ioan Gruffudd,Rhys Wakefield,Richard Roxburgh
The Five-Year Engagement,28644770.0,28835528,11000,6.2,2012.0,Alison Brie,Jacki Weaver,David Paymer
The Next Three Days,21129348.0,21148651,27000,7.4,2010.0,Olivia Wilde,Daniel Stern,Aisha Hinds
Splice,16999046.0,17010170,12000,5.8,2009.0,Sarah Polley,David Hewlett,Delphine Chanéac
Fright Night,18298649.0,24922237,23000,6.4,2011.0,Grace Phipps,Reid Ewing,Sandra Vergara
The Last Stand,12026670.0,12050299,24000,6.4,2013.0,Zach Gilford,James Burnett,Christiana Leucas
Hoodwinked Too! Hood vs. Evil,10134754.0,10143779,0,4.8,2011.0,Amy Poehler,Phil LaMarr,Cheech Marin
The Imaginarium of Doctor Parnassus,7689458.0,7689607,19000,6.8,2009.0,Andrew Garfield,Lily Cole,Verne Troyer
Runner Runner,19316646.0,19316646,0,5.6,2013.0,Justin Timberlake,John Heard,David Costabile
Dead Man Down,10880926.0,10895295,0,6.5,2013.0,Dominic Cooper,Isabelle Huppert,James Biberi
1911,127437.0,135739,0,6.0,2011.0,Bingbing Li,Joan Chen,Jaycee Chan
Machine Gun Preacher,537580.0,538690,21000,6.8,2011.0,Gerard Butler,Madeline Carroll,Kathy Baker
United Passions,,607,0,2.0,2014.0,Fisher Stevens,Thomas Kretschmann,Jemima West
Sausage Party,,97685686,13000,7.5,2016.0,James Franco,Salma Hayek,Anders Holm
Pitch Perfect 2,183436380.0,184296230,40000,6.5,2015.0,Anna Kendrick,Birgitte Hjort Sørensen,Hana Mae Lee
Frost/Nixon,18593156.0,18622031,0,7.7,2008.0,Toby Jones,Clint Howard,Oliver Platt
The Boss,63034755.0,63285885,0,5.3,2016.0,Peter Dinklage,Tyler Labine,Ben Falcone
Straight Outta Compton,161029270.0,161197785,76000,7.9,2015.0,Aldis Hodge,Neil Brown Jr.,R. Marcos Taylor
Florence Foster Jenkins,,27383770,0,7.1,2016.0,Meryl Streep,Nina Arianda,John Sessions
Role Models,67266300.0,67294270,0,6.9,2008.0,Joe Lo Truglio,Ken Marino,Bobb'e J. Thompson
The Big Short,70235322.0,70259870,99000,7.8,2015.0,Ryan Gosling,Christian Bale,Charlie Talbert
Taking Woodstock,7443007.0,7460204,0,6.7,2009.0,Imelda Staunton,Kevin Chamberlin,Demetri Martin
Last Vegas,63910583.0,63914167,27000,6.6,2013.0,Robert De Niro,Morgan Freeman,Romany Malco
Safe Haven,71346930.0,71349120,23000,6.7,2013.0,David Lyons,Noah Lomax,Mimi Kirkland
Kick-Ass,48043505.0,48071303,36000,7.7,2010.0,Elizabeth McGovern,Deborah Twiss,Michael Rispoli
30 Minutes or Less,37053924.0,37053924,0,6.1,2011.0,Bianca Kajlich,Dilshad Vadsaria,Fred Ward
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",66950483.0,66954149,12000,6.2,2014.0,Bella Thorne,Steve Carell,Jennifer Garner
3 Days to Kill,30688364.0,30697999,10000,6.2,2014.0,Connie Nielsen,Richard Sammel,Tómas Lemarquis
The Spy Next Door,24268828.0,24307086,0,5.4,2010.0,Madeline Carroll,Amber Valletta,George Lopez
Our Brand Is Crisis,6998324.0,166750,0,6.1,2015.0,Dominic Flores,Zoe Kazan,Scoot McNairy
Pride and Prejudice and Zombies,10907291.0,10938134,73000,5.8,2016.0,Matt Smith,Bella Heathcote,Sam Riley
Kick-Ass 2,28751715.0,28795985,36000,6.6,2013.0,Chloë Grace Moretz,Donald Faison,Augustus Prew
Brick Mansions,20285518.0,20396829,0,5.7,2014.0,Paul Walker,Robert Maillet,RZA
My Sister's Keeper,49185998.0,49200230,15000,7.4,2009.0,Jason Patric,Sofia Vassilieva,Jeffrey Markle
The Sisterhood of the Traveling Pants 2,44087387.0,44089964,894,6.2,2008.0,America Ferrera,Blythe Danner,Michael Rady
Joyful Noise,30920167.0,30932113,0,5.7,2012.0,Dolly Parton,Jeremy Jordan,Jesse L. Martin
Anonymous,4463292.0,4463292,15000,6.9,2011.0,Vanessa Redgrave,Joely Richardson,Rafe Spall
The Duchess,13823741.0,13848978,0,6.9,2008.0,Dominic Cooper,Hayley Atwell,Charlotte Rampling
Case 39,13248477.0,13261851,0,6.2,2009.0,Bradley Cooper,Callum Rennie,Vanesa Tomasino
Money Monster,41008532.0,41012075,0,6.7,2016.0,Julia Roberts,Jack O'Connell,Chris Bauer
Paul Blart: Mall Cop,20819129.0,146336178,0,5.2,2009.0,Erick Avari,Adhir Kalyan,Allen Covert
A Walk Among the Tombstones,25977365.0,26307600,15000,6.5,2014.0,Liam Neeson,Boyd Holbrook,David Harbour
Pineapple Express,87341380.0,87341380,0,7.0,2008.0,James Franco,Gary Cole,Rosie Perez
Brothers,28501651.0,28544157,10000,7.1,2009.0,Natalie Portman,Jake Gyllenhaal,Bailee Madison
Brothers,28501651.0,28544157,10000,7.1,2009.0,Natalie Portman,Jake Gyllenhaal,Ethan Suplee
New Year's Eve,54540525.0,54544638,20000,5.7,2011.0,Robert De Niro,Common,Seth Meyers
The Raven,16005978.0,16008272,35000,6.4,2012.0,Pam Ferris,Dave Legeno,Kevin McNally
Gran Torino,148085755.0,148095302,28000,8.2,2008.0,Clint Eastwood,Dreama Walker,Ahney Her
W.,25517500.0,25534493,0,6.4,2008.0,Toby Jones,Scott Glenn,Bruce McGill
Taken,145000989.0,145000989,29000,7.9,2008.0,Liam Neeson,Holly Valance,Xander Berkeley
The Best of Me,26761283.0,26766213,19000,6.7,2014.0,Luke Bracey,Gerald McRaney,Clarke Peters
The Help,169705587.0,169708112,75000,8.1,2011.0,Emma Stone,Bryce Dallas Howard,Mike Vogel
The Fifth Estate,3254172.0,3255008,11000,6.2,2013.0,Benedict Cumberbatch,Peter Capaldi,Jamie Blackley
Cloverfield,80034302.0,80048433,0,7.0,2008.0,Mike Vogel,Ben Feldman,Liza Lapira
Ride Along,134141530.0,134938200,0,6.2,2014.0,Bruce McGill,Tika Sumpter,Bryan Callen
Parental Guidance,77264926.0,77267296,0,6.1,2012.0,Bailee Madison,Gedde Watanabe,Tom Everett Scott
No Strings Attached,70625986.0,70662220,24000,6.2,2011.0,Natalie Portman,Greta Gerwig,Mindy Kaling
The Lucky One,60443237.0,60457138,29000,6.5,2012.0,Blythe Danner,Riley Thomas Stewart,Jay R. Ferguson
The Grey,51533608.0,51580236,32000,6.8,2011.0,Liam Neeson,Frank Grillo,James Badge Dale
Contraband,66489425.0,66528000,0,6.5,2012.0,J.K. Simmons,David O'Hara,Lukas Haas
The House Bunny,48237389.0,48237389,0,5.5,2008.0,Emma Stone,Katharine McPhee,Beverly D'Angelo
Million Dollar Arm,36447959.0,36457627,10000,7.0,2014.0,Jon Hamm,Suraj Sharma,Gregory Alan Williams
The Giver,45089048.0,45090374,58000,6.5,2014.0,Jeff Bridges,Meryl Streep,Alexander Skarsgård
Blood Ties,41229.0,2760,0,6.5,2013.0,Mila Kunis,Lili Taylor,Billy Crudup
The Sitter,30538669.0,30441326,0,5.7,2011.0,Ari Graynor,J.B. Smoove,Kylie Bunbury
Dance Flick,25615792.0,25662155,657,3.5,2009.0,Damon Wayans Jr.,Essence Atkins,Chris Elliott
The Gambler,33631221.0,33680992,0,6.0,2014.0,George Kennedy,Cjon Saulsberry,Griffin Cleveland
The Gambler,33631221.0,33680992,0,6.0,2014.0,George Kennedy,Cjon Saulsberry,Griffin Cleveland
August: Osage County,37738400.0,37738810,30000,7.3,2013.0,Benedict Cumberbatch,Meryl Streep,Julia Roberts
Eddie the Eagle,15785632.0,15789389,15000,7.5,2016.0,Hugh Jackman,Taron Egerton,Tim McInnerny
Eddie the Eagle,15785632.0,15789389,15000,7.5,2016.0,Hugh Jackman,Taron Egerton,Tim McInnerny
Dear John,80014842.0,80014842,14000,6.3,2010.0,Channing Tatum,Henry Thomas,Scott Porter
The Losers,23527955.0,23591432,0,6.4,2010.0,Chris Evans,Jason Patric,Óscar Jaenada
Don't Be Afraid of the Dark,24042490.0,24046682,10000,5.6,2010.0,Bailee Madison,Alan Dale,Jack Thompson
The Box,15045676.0,15051977,0,5.6,2009.0,Frank Langella,Gillian Jacobs,Celia Weston
The Ruins,17427926.0,17432844,0,5.9,2008.0,Laura Ramsey,Jonathan Tucker,Sergio Calderón
My Soul to Take,14637490.0,14744435,0,4.8,2010.0,Frank Grillo,Emily Meade,Zena Grey
My Soul to Take,14637490.0,14744435,0,4.8,2010.0,Frank Grillo,Emily Meade,Zena Grey
Legend,1865774.0,15502112,43000,7.0,2015.0,Tom Hardy,Paul Anderson,Tara Fitzgerald
Legend,1865774.0,1872994,43000,7.0,2015.0,Tom Hardy,Paul Anderson,Tara Fitzgerald
Shark Night 3D,18860403.0,18877153,0,4.0,2011.0,Chris Zylka,Joel David Moore,Katharine McPhee
Draft Day,28831145.0,28842237,14000,6.8,2014.0,Jennifer Garner,Chi McBride,Patrick St. Esprit
The Conspirator,11538204.0,11538204,0,7.0,2010.0,Robin Wright,Tom Wilkinson,Stephen Root
The 33,12188642.0,12227722,0,6.9,2015.0,Marco Treviño,James Brolin,Jacob Vargas
Warrior,13651662.0,13657115,77000,8.2,2011.0,Tom Hardy,Frank Grillo,Kevin Dunn
Stop-Loss,10911750.0,10915744,982,6.5,2008.0,Joseph Gordon-Levitt,Channing Tatum,Abbie Cornish
The Possession,49122319.0,49130154,17000,5.9,2012.0,Kyra Sedgwick,Madison Davenport,Natasha Calis
The Possession,49122319.0,49130154,17000,5.9,2012.0,Kyra Sedgwick,Madison Davenport,Natasha Calis
The Road,56692.0,8117000,32000,7.3,2009.0,Viggo Mortensen,Charlize Theron,Robert Duvall
Blindness,3073392.0,3351751,0,6.6,2008.0,Don McKellar,Joe Pingue,Yûsuke Iseya
Carnage,,60158,21000,7.2,2011.0,Kate Winslet,Christoph Waltz,Julie Adams
Me and Orson Welles,1186957.0,1190003,0,6.8,2008.0,Zoe Kazan,Aidan McArdle,James Tupper
The Best Offer,85433.0,100035,31000,7.8,2013.0,Jim Sturgess,Sean Buchanan,Liya Kebede
Bad Lieutenant: Port of Call New Orleans,1697956.0,1702112,6000,6.7,2009.0,Nicolas Cage,Shea Whigham,Shawn Hatosy
Little White Lies,183662.0,206088,0,7.1,2010.0,François Cluzet,Benoît Magimel,Gilles Lellouche
Love Ranch,134904.0,137885,636,5.7,2010.0,Scout Taylor-Compton,Bai Ling,Gil Birmingham
The Counselor,16969390.0,16973715,24000,5.3,2013.0,Michael Fassbender,Brad Pitt,Goran Visnjic
Kung Fu Killer,129115.0,129784,0,6.5,2014.0,Siu-Wong Fan,Charlie Yeung,Wai-Keung Lau
On the Road,717753.0,744296,27000,6.1,2012.0,Kristen Stewart,Viggo Mortensen,Kirsten Dunst
Jane Got a Gun,1512815.0,1513793,0,5.8,2016.0,Natalie Portman,Noah Emmerich,Boyd Holbrook
Think Like a Man Too,65182182.0,65182182,3000,5.7,2014.0,Romany Malco,Regina Hall,David Walton
Zack and Miri Make a Porno,31452765.0,31457946,0,6.6,2008.0,Gerry Bednob,Jeff Anderson,Jennifer Schwalbach Smith
The Men Who Stare at Goats,32416109.0,32428195,15000,6.2,2009.0,Kevin Spacey,Jeff Bridges,Stephen Root
I Don't Know How She Does It,9639242.0,9662284,0,4.9,2011.0,Olivia Munn,Busy Philipps,Jessica Szohr
Piranha 3D,25003072.0,25003155,13000,5.5,2010.0,Adam Scott,Kelly Brook,Jessica Szohr
Faster,23225911.0,23240020,12000,6.5,2010.0,Dwayne Johnson,Tom Berenger,Mike Epps
Zombieland,75590286.0,75590286,26000,7.7,2009.0,Emma Stone,Bill Murray,Derek Graf
The Ides of March,40962534.0,40962534,22000,7.1,2011.0,Ryan Gosling,Philip Seymour Hoffman,Jennifer Ehle
The Adventurer: The Curse of the Midas Box,4756.0,6399,0,5.4,2013.0,Ioan Gruffudd,Keeley Hawes,Oliver Stark
Haywire,18934858.0,18942396,0,5.8,2011.0,Channing Tatum,Michael Fassbender,Michael Angarano
The Longshots,11508423.0,11537046,376,5.1,2008.0,Tasha Smith,Dash Mihok,Garrett Morris
Coco Before Chanel,6109075.0,6113834,0,6.7,2009.0,Alessandro Nivola,Benoît Poelvoorde,Marie Gillain
