"","X.2","X.1","X","year_of_birth","height","weight","scars","colour","year_of_discovery","number_of_lost_teeth","life_length","Life"
"659",659,659,659,"43",31.6,8.77,1,"green",1733,22,1117,"N.E."
"660",660,660,660,"914 BC",41.36,13.01,5,"red",1733,25,1336,"P.N.E."
"661",661,661,661,"1617 BC",36.7,10.72,13,"blue",1733,27,1647,"P.N.E."
"662",662,662,662,"1 BC",52.29,15.03,2,"blue",1733,27,1190,"P.N.E."
"663",663,663,663,"869 BC",61.38,17.09,37,"blue",1733,37,2840,"P.N.E."
"664",664,664,664,"1110",47,16,8,"red",1733,22,1246,"N.E."
"665",665,665,665,"1626",53.2,16.49,1,"green",1733,18,1035,"N.E."
"666",666,666,666,"831",37.62,10.85,6,"green",1733,6,860,"N.E."
"667",667,667,667,"1187",50.23,14.55,24,"red",1733,28,1999,"N.E."
"668",668,668,668,"151 BC",49.48,14.52,7,"red",1733,21,1281,"P.N.E."
"669",669,669,669,"937 BC",48.29,13.74,3,"red",1733,12,929,"P.N.E."
"670",670,670,670,"1238 BC",53.56,15.49,14,"red",1733,27,1690,"P.N.E."
"671",671,671,671,"1159",46.95,12.86,1,"blue",1733,30,1130,"N.E."
"672",672,672,672,"18 BC",45.48,14.22,8,"blue",1733,13,1157,"P.N.E."
"673",673,673,673,"1338",49.34,13.98,6,"black",1733,38,1527,"N.E."
"674",674,674,674,"1472",42.57,11.68,3,"blue",1734,6,738,"N.E."
"675",675,675,675,"1425",39.6,12.39,17,"red",1734,26,1726,"N.E."
"676",676,676,676,"638 BC",38.7,12.17,8,"blue",1734,9,1123,"P.N.E."
"677",677,677,677,"463 BC",56.09,15.67,4,"red",1734,34,1448,"P.N.E."
"678",678,678,678,"1382",37.07,11.3,19,"green",1734,25,1747,"N.E."
"679",679,679,679,"1053 BC",43.87,14.64,9,"red",1734,39,1722,"P.N.E."
"680",680,680,680,"893 BC",44.23,12.4,7,"green",1734,16,1213,"P.N.E."
"681",681,681,681,"207",35.92,9.9,4,"blue",1734,24,1201,"N.E."
"682",682,682,682,"307 BC",46.52,13.56,1,"green",1734,0,671,"P.N.E."
"683",683,683,683,"702",42.88,11.93,19,"red",1734,27,1802,"N.E."
"684",684,684,684,"840",44.21,12.31,7,"red",1734,1,788,"N.E."
"685",685,685,685,"646 BC",44.97,16.5,29,"blue",1734,17,2105,"P.N.E."
"686",686,686,686,"636 BC",41.7,11.72,3,"red",1734,26,1254,"P.N.E."
"687",687,687,687,"1212",46.22,13.69,5,"red",1734,4,743,"N.E."
"688",688,688,688,"1959 BC",48.46,16.06,18,"red",1735,36,2059,"P.N.E."
"689",689,689,689,"968 BC",44.05,12.83,10,"blue",1735,31,1593,"P.N.E."
"690",690,690,690,"1022 BC",45.82,13.12,6,"blue",1735,17,1176,"P.N.E."
"691",691,691,691,"310 BC",48.67,13.81,3,"blue",1735,0,714,"P.N.E."
"692",692,692,692,"1123",42.11,11.86,1,"red",1735,39,1320,"N.E."
"693",693,693,693,"1346 BC",44.95,13.5,11,"blue",1735,7,1210,"P.N.E."
"694",694,694,694,"1948 BC",44.06,13.72,10,"blue",1735,25,1487,"P.N.E."
"695",695,695,695,"901 BC",44.66,12.82,1,"green",1735,13,868,"P.N.E."
"696",696,696,696,"1283",39.95,10.94,2,"green",1735,3,658,"N.E."
"697",697,697,697,"1237",39.96,11.3,15,"blue",1735,6,1212,"N.E."
"698",698,698,698,"788 BC",35.65,10.07,6,"red",1735,18,1229,"P.N.E."
"699",699,699,699,"490 BC",36.26,10.7,1,"red",1735,39,1418,"P.N.E."
"700",700,700,700,"302",50.28,15.85,1,"blue",1736,27,1155,"N.E."
"701",701,701,701,"688",40.77,11.75,0,"red",1736,17,787,"N.E."
"702",702,702,702,"94 BC",52.61,15.97,9,"green",1736,23,1441,"P.N.E."
"703",703,703,703,"1321",46.77,14.62,5,"red",1736,14,997,"N.E."
"704",704,704,704,"761 BC",44.59,13.88,8,"blue",1736,20,1309,"P.N.E."
"705",705,705,705,"1106 BC",50,14.93,7,"red",1736,25,1360,"P.N.E."
"706",706,706,706,"470 BC",54.34,17.79,7,"blue",1736,1,892,"P.N.E."
"707",707,707,707,"1383 BC",45.16,13.16,4,"green",1736,20,1107,"P.N.E."
"708",708,708,708,"1092",51.69,14.74,1,"red",1736,11,735,"N.E."
"709",709,709,709,"550 BC",51.6,14.39,21,"red",1736,11,1655,"P.N.E."
"710",710,710,710,"500",51.38,14.05,23,"blue",1736,9,1585,"N.E."
"711",711,711,711,"1728 BC",56.22,15.99,4,"blue",1736,37,1482,"P.N.E."
"712",712,712,712,"96",41.52,15.11,57,"red",1736,27,3442,"N.E."
"713",713,713,713,"436 BC",48.19,13.2,3,"red",1736,33,1346,"P.N.E."
"714",714,714,714,"1744 BC",44.22,12.18,2,"red",1736,31,1259,"P.N.E."
"715",715,715,715,"447",40.29,12.89,10,"blue",1736,30,1593,"N.E."
"716",716,716,716,"802",37.66,10.95,7,"blue",1736,25,1272,"N.E."
"717",717,717,717,"892 BC",52.46,14.47,17,"red",1736,31,1891,"P.N.E."
"718",718,718,718,"1729 BC",40.94,12.29,5,"blue",1736,13,1046,"P.N.E."
"719",719,719,719,"1678",50.07,13.74,25,"red",1737,9,1793,"N.E."
"720",720,720,720,"107 BC",43.45,12.6,22,"green",1737,22,1884,"P.N.E."
"721",721,721,721,"171 BC",54.47,16.43,7,"green",1737,27,1445,"P.N.E."
"722",722,722,722,"912 BC",49.49,14.4,5,"red",1737,35,1504,"P.N.E."
"723",723,723,723,"1303 BC",47.77,14.75,6,"blue",1737,34,1505,"P.N.E."
"724",724,724,724,"1796 BC",54.15,15.09,16,"blue",1737,30,1863,"P.N.E."
"725",725,725,725,"429",38.92,12.43,23,"red",1737,28,2088,"N.E."
"726",726,726,726,"585 BC",56.6,16.5,2,"black",1737,2,726,"P.N.E."
"727",727,727,727,"304",42.37,11.73,9,"blue",1737,22,1410,"N.E."
"728",728,728,728,"683",44.55,12.32,4,"blue",1737,29,1255,"N.E."
"729",729,729,729,"1100 BC",49.93,13.76,10,"blue",1737,31,1611,"P.N.E."
"730",730,730,730,"900",50.16,15.17,4,"red",1737,1,672,"N.E."
"731",731,731,731,"1620 BC",40.53,12.8,1,"red",1737,38,1400,"P.N.E."
"732",732,732,732,"1452",41.34,12.84,8,"green",1737,15,1123,"N.E."
"733",733,733,733,"1400",50.03,14.87,3,"red",1737,21,1058,"N.E."
"734",734,734,734,"1110 BC",41.4,11.85,19,"red",1737,5,1425,"P.N.E."
"735",735,735,735,"1566",43.34,16.18,2,"blue",1737,7,815,"N.E."
"736",736,736,736,"1496 BC",37.22,11.11,2,"blue",1737,38,1434,"P.N.E."
"737",737,737,737,"723",56.63,15.58,32,"red",1737,13,2071,"N.E."
"738",738,738,738,"960 BC",42.71,12.97,4,"red",1737,31,1420,"P.N.E."
"739",739,739,739,"601 BC",51.85,14.88,4,"blue",1737,24,1215,"P.N.E."
"740",740,740,740,"1546",49.28,14.23,40,"red",1737,23,2652,"N.E."
"741",741,741,741,"579",56.34,15.95,15,"blue",1737,35,1786,"N.E."
"742",742,742,742,"19",41.14,12.17,12,"blue",1737,7,1231,"N.E."
"743",743,743,743,"918",41.21,11.95,3,"red",1738,26,1139,"N.E."
"744",744,744,744,"146",47.62,15.06,14,"blue",1738,26,1685,"N.E."
"745",745,745,745,"1602 BC",41.27,13.92,3,"blue",1738,3,764,"P.N.E."
"746",746,746,746,"1596",44.1,12.79,2,"red",1738,11,922,"N.E."
"747",747,747,747,"1642",44.72,12.95,10,"blue",1738,19,1346,"N.E."
"748",748,748,748,"575",45.75,13.34,15,"green",1738,4,1169,"N.E."
"749",749,749,749,"929 BC",49.68,15.47,15,"green",1738,33,1862,"P.N.E."
"750",750,750,750,"694 BC",44.99,12.8,28,"red",1738,37,2432,"P.N.E."
"751",751,751,751,"1467 BC",41.24,11.67,6,"red",1738,19,1227,"P.N.E."
"752",752,752,752,"1111 BC",48.06,13.22,0,"red",1738,32,1236,"P.N.E."
"753",753,753,753,"1965 BC",42.14,11.86,12,"red",1738,27,1614,"P.N.E."
"754",754,754,754,"200",41.99,12.15,11,"red",1738,2,1079,"N.E."
"755",755,755,755,"909 BC",53.94,15.8,5,"green",1738,28,1353,"P.N.E."
"756",756,756,756,"1547 BC",42.26,11.66,6,"red",1738,4,950,"P.N.E."
"757",757,757,757,"1542 BC",37.6,10.42,13,"red",1738,32,1764,"P.N.E."
"758",758,758,758,"1213 BC",58.07,19.89,4,"red",1738,23,1219,"P.N.E."
"759",759,759,759,"1616 BC",45.29,12.47,25,"red",1739,20,1962,"P.N.E."
"760",760,760,760,"526",40.71,11.56,1,"blue",1739,9,719,"N.E."
"761",761,761,761,"544 BC",55.63,15.33,6,"red",1739,11,1017,"P.N.E."
"762",762,762,762,"1645",54.92,15.63,30,"red",1739,38,2551,"N.E."
"763",763,763,763,"72",48.39,13.79,5,"red",1739,35,1502,"N.E."
"764",764,764,764,"165 BC",59.8,16.86,21,"red",1739,31,2041,"P.N.E."
"765",765,765,765,"577 BC",37.66,10.39,9,"red",1739,26,1495,"P.N.E."
"766",766,766,766,"307 BC",35.75,11.52,1,"red",1739,5,722,"P.N.E."
"767",767,767,767,"1729",53.01,16.4,0,"green",1739,12,849,"N.E."
"768",768,768,768,"422 BC",53.79,15.31,12,"red",1739,37,1808,"P.N.E."
"769",769,769,769,"39",44.52,12.24,6,"blue",1739,33,1481,"N.E."
"770",770,770,770,"834 BC",47.67,13.08,13,"red",1739,6,1242,"P.N.E."
"771",771,771,771,"907",48.5,13.91,9,"green",1739,40,1656,"N.E."
"772",772,772,772,"332",37.42,10.97,2,"green",1739,23,1146,"N.E."
"773",773,773,773,"1018 BC",44.23,12.92,1,"blue",1739,21,1089,"P.N.E."
"774",774,774,774,"949 BC",48.95,13.48,0,"red",1739,39,1369,"P.N.E."
"775",775,775,775,"1455 BC",45.47,13.14,2,"red",1739,27,1222,"P.N.E."
"776",776,776,776,"725 BC",35.27,9.81,3,"blue",1740,16,1043,"P.N.E."
"777",777,777,777,"1312",38.09,13.74,10,"green",1740,34,1555,"N.E."
"778",778,778,778,"301 BC",52.46,14.59,16,"blue",1740,11,1456,"P.N.E."
"779",779,779,779,"792 BC",40.87,11.6,6,"blue",1740,7,993,"P.N.E."
"780",780,780,780,"756",35.68,10.15,7,"red",1740,39,1601,"N.E."
"781",781,781,781,"1280",44.3,12.38,3,"blue",1740,16,950,"N.E."
"782",782,782,782,"1909 BC",49.04,16.33,6,"blue",1740,30,1440,"P.N.E."
"783",783,783,783,"1733 BC",46.57,13.64,1,"red",1740,17,965,"P.N.E."
"784",784,784,784,"239 BC",44.39,14.35,27,"green",1740,1,1710,"P.N.E."
"785",785,785,785,"1854 BC",45.32,12.5,7,"blue",1740,10,1092,"P.N.E."
"786",786,786,786,"1056 BC",46.21,12.81,6,"green",1740,10,1016,"P.N.E."
"787",787,787,787,"40",45.03,13.05,21,"blue",1740,17,1768,"N.E."
"788",788,788,788,"726 BC",44.12,13.44,7,"red",1741,0,852,"P.N.E."
"789",789,789,789,"355 BC",49.06,13.66,2,"blue",1741,18,1032,"P.N.E."
"790",790,790,790,"808",51.17,14.11,1,"red",1741,11,760,"N.E."
"791",791,791,791,"1505",46.52,14.76,4,"red",1741,3,848,"N.E."
"792",792,792,792,"1235",52.68,15.07,6,"blue",1741,16,1059,"N.E."
"793",793,793,793,"189",43.05,11.87,5,"red",1741,29,1386,"N.E."
"794",794,794,794,"1687",59.48,17.23,40,"green",1741,11,2396,"N.E."
"795",795,795,795,"310 BC",60.04,17.98,10,"red",1741,19,1365,"P.N.E."
"796",796,796,796,"1080",43.8,12.94,4,"red",1741,17,997,"N.E."
"797",797,797,797,"506 BC",38.63,12.25,5,"red",1741,36,1522,"P.N.E."
"798",798,798,798,"1276 BC",39.69,11.04,8,"blue",1741,8,1090,"P.N.E."
"799",799,799,799,"1577",55.32,15.23,17,"green",1741,18,1647,"N.E."
"800",800,800,800,"797",38.76,12.52,18,"red",1741,1,1246,"N.E."
"801",801,801,801,"1322 BC",45.86,12.67,17,"red",1741,21,1696,"P.N.E."
"802",802,802,802,"823",48.18,14.28,0,"green",1741,29,1091,"N.E."
"803",803,803,803,"1002 BC",51.55,14.92,4,"blue",1741,26,1303,"P.N.E."
"804",804,804,804,"1131 BC",39.44,11.43,3,"blue",1741,28,1312,"P.N.E."
"805",805,805,805,"686",57.15,15.68,8,"blue",1741,26,1366,"N.E."
"806",806,806,806,"1621",30.56,9.09,5,"blue",1741,3,855,"N.E."
"807",807,807,807,"384",33.19,9.35,12,"red",1741,24,1571,"N.E."
"808",808,808,808,"1411",56.08,15.35,3,"green",1741,16,941,"N.E."
"809",809,809,809,"244",44.05,12.1,0,"red",1741,34,1250,"N.E."
"810",810,810,810,"841",51.29,14.43,2,"blue",1742,29,1180,"N.E."
"811",811,811,811,"399",64.46,18.41,10,"blue",1742,21,1447,"N.E."
"812",812,812,812,"983 BC",44.88,13.94,6,"red",1742,23,1284,"P.N.E."
"813",813,813,813,"615 BC",35.72,9.82,2,"blue",1742,8,842,"P.N.E."
"814",814,814,814,"1220",49.95,14,0,"green",1742,5,580,"N.E."
"815",815,815,815,"137 BC",44.1,12.85,25,"red",1742,38,2380,"P.N.E."
"816",816,816,816,"29 BC",50.52,14.14,11,"red",1742,5,1112,"P.N.E."
"817",817,817,817,"1994 BC",49.49,15.92,2,"green",1742,39,1460,"P.N.E."
"818",818,818,818,"676 BC",54.33,16.2,2,"red",1742,27,1219,"P.N.E."
"819",819,819,819,"1797",44.3,12.62,11,"blue",1742,19,1428,"N.E."
"820",820,820,820,"1122",44.58,12.23,3,"red",1742,12,833,"N.E."
"821",821,821,821,"58",43.33,12.71,9,"blue",1742,31,1549,"N.E."
"822",822,822,822,"1505",44.51,12.95,38,"green",1742,14,2403,"N.E."
"823",823,823,823,"142 BC",43.22,12.14,3,"green",1742,12,1005,"P.N.E."
"824",824,824,824,"868",46.69,14.01,10,"red",1742,40,1714,"N.E."
"825",825,825,825,"254",63.34,18.35,18,"blue",1742,37,2056,"N.E."
"826",826,826,826,"13 BC",40.49,11.91,8,"black",1742,10,1154,"P.N.E."
"827",827,827,827,"902",42.44,11.74,2,"red",1742,14,861,"N.E."
"828",828,828,828,"1729",45,12.43,4,"red",1742,6,873,"N.E."
"829",829,829,829,"1664",51.78,14.63,2,"red",1742,13,921,"N.E."
"830",830,830,830,"1242",51.19,15.58,3,"blue",1742,15,928,"N.E."
"831",831,831,831,"688 BC",46.24,12.98,2,"red",1742,27,1209,"P.N.E."
"832",832,832,832,"871",43.57,12.88,20,"green",1743,17,1631,"N.E."
"833",833,833,833,"45",36.05,10.52,6,"red",1743,24,1339,"N.E."
"834",834,834,834,"1745 BC",52.76,15.64,18,"red",1743,30,1931,"P.N.E."
"835",835,835,835,"1183 BC",39.8,11.11,7,"red",1743,30,1478,"P.N.E."
"836",836,836,836,"147",49.88,13.76,14,"red",1743,5,1258,"N.E."
"837",837,837,837,"1512",38.39,10.56,2,"red",1743,32,1297,"N.E."
"838",838,838,838,"1780",59.78,17.18,6,"red",1743,24,1322,"N.E."
"839",839,839,839,"536 BC",40.84,11.21,2,"blue",1743,30,1302,"P.N.E."
"840",840,840,840,"1953 BC",37.21,10.4,8,"black",1743,27,1458,"P.N.E."
"841",841,841,841,"1890 BC",45.3,12.51,17,"blue",1743,20,1643,"P.N.E."
"842",842,842,842,"661 BC",46.87,13.49,7,"red",1743,8,1030,"P.N.E."
"843",843,843,843,"951",42.18,15.84,25,"green",1743,12,1723,"N.E."
"844",844,844,844,"1046",48.46,13.56,31,"blue",1743,23,2218,"N.E."
"845",845,845,845,"812",47.15,13.38,3,"red",1743,34,1323,"N.E."
"846",846,846,846,"10",45.08,15.84,29,"red",1743,31,2373,"N.E."
"847",847,847,847,"785 BC",60.5,17.85,17,"red",1743,33,1978,"P.N.E."
"848",848,848,848,"821 BC",47.71,15.18,23,"red",1743,3,1538,"P.N.E."
"849",849,849,849,"925",45.76,13.22,7,"red",1743,26,1317,"N.E."
"850",850,850,850,"1505 BC",44.47,12.36,3,"red",1743,30,1312,"P.N.E."
"851",851,851,851,"624 BC",48.01,13.14,1,"red",1743,0,630,"P.N.E."
"852",852,852,852,"107",64.55,18.05,4,"green",1743,34,1491,"N.E."
"853",853,853,853,"866 BC",49.72,13.6,29,"blue",1743,1,1786,"P.N.E."
"854",854,854,854,"227",37.24,10.85,9,"green",1744,36,1689,"N.E."
"855",855,855,855,"1443",37.66,11.09,6,"green",1744,17,1100,"N.E."
"856",856,856,856,"1405",44.68,12.81,1,"red",1744,11,779,"N.E."
"857",857,857,857,"850 BC",46.52,13.27,0,"red",1744,7,731,"P.N.E."
"858",858,858,858,"924 BC",35.72,11.33,3,"red",1744,10,911,"P.N.E."
"859",859,859,859,"199",47.3,14.39,4,"blue",1744,22,1207,"N.E."
"860",860,860,860,"342 BC",41.95,11.51,2,"red",1744,3,746,"P.N.E."
"861",861,861,861,"1493",42.68,12.63,5,"green",1744,14,979,"N.E."
"862",862,862,862,"1460",52.41,14.43,0,"red",1744,13,731,"N.E."
"863",863,863,863,"1092",44.85,16.01,30,"blue",1744,35,2396,"N.E."
"864",864,864,864,"778 BC",46.79,14.19,0,"red",1744,26,1125,"P.N.E."
"865",865,865,865,"1045",60.98,16.99,2,"red",1744,13,847,"N.E."
"866",866,866,866,"1005 BC",33.57,9.28,0,"red",1744,34,1286,"P.N.E."
"867",867,867,867,"1467 BC",40.96,13.61,4,"red",1744,2,754,"P.N.E."
"868",868,868,868,"534",42.85,12.45,0,"blue",1744,38,1282,"N.E."
"869",869,869,869,"361 BC",39.27,11.06,9,"red",1744,13,1202,"P.N.E."
"870",870,870,870,"1917 BC",49.19,15.67,32,"blue",1744,16,2215,"P.N.E."
"871",871,871,871,"749",48.8,14.22,3,"blue",1744,2,670,"N.E."
"872",872,872,872,"1008",42.94,14.85,6,"red",1745,9,931,"N.E."
"873",873,873,873,"617 BC",32.07,9.09,22,"red",1745,30,2089,"P.N.E."
"874",874,874,874,"576 BC",50.19,14.95,8,"red",1745,7,1041,"P.N.E."
"875",875,875,875,"1743 BC",48.02,13.27,14,"green",1745,30,1770,"P.N.E."
"876",876,876,876,"888 BC",43.51,13.39,5,"red",1745,36,1556,"P.N.E."
"877",877,877,877,"1000 BC",38.88,11.67,0,"blue",1745,30,1185,"P.N.E."
"878",878,878,878,"256 BC",37.07,12.09,4,"red",1745,8,913,"P.N.E."
"879",879,879,879,"689",43.12,13.05,2,"green",1745,3,637,"N.E."
"880",880,880,880,"732",39.44,12.5,2,"red",1745,17,915,"N.E."
"881",881,881,881,"858",41.13,11.44,9,"blue",1745,2,916,"N.E."
"882",882,882,882,"1375",30.55,10.71,2,"blue",1745,26,1119,"N.E."
"883",883,883,883,"1345 BC",42.92,12.27,3,"red",1745,4,786,"P.N.E."
"884",884,884,884,"675 BC",47.03,13.38,22,"blue",1745,26,2019,"P.N.E."
"885",885,885,885,"750",43.28,13.41,9,"blue",1745,2,925,"N.E."
"886",886,886,886,"1928 BC",55.66,16,8,"green",1745,10,1103,"P.N.E."
"887",887,887,887,"276 BC",46.77,13.74,10,"red",1745,37,1799,"P.N.E."
"888",888,888,888,"1720 BC",49.5,14.7,7,"red",1745,12,1125,"P.N.E."
"889",889,889,889,"1379 BC",38.43,10.98,4,"red",1745,0,757,"P.N.E."
"890",890,890,890,"1591 BC",54.8,16.12,11,"red",1745,30,1631,"P.N.E."
"891",891,891,891,"1574",49.41,15.33,14,"red",1746,17,1495,"N.E."
"892",892,892,892,"1372",57.05,15.9,9,"blue",1746,3,904,"N.E."
"893",893,893,893,"832",40.69,11.91,7,"red",1746,1,819,"N.E."
"894",894,894,894,"1102 BC",42.55,12.48,7,"red",1746,18,1225,"P.N.E."
"895",895,895,895,"1887 BC",37.45,11.85,14,"red",1746,26,1719,"P.N.E."
"896",896,896,896,"1810 BC",35.17,10.02,4,"green",1746,35,1463,"P.N.E."
"897",897,897,897,"181 BC",48.33,15.2,35,"red",1746,13,2239,"P.N.E."
"898",898,898,898,"450",44.45,12.37,14,"red",1746,3,1216,"N.E."
"899",899,899,899,"1771 BC",42.36,12.03,1,"red",1746,32,1239,"P.N.E."
"900",900,900,900,"1789 BC",40.94,11.48,16,"red",1746,14,1479,"P.N.E."
"901",901,901,901,"1076 BC",39.07,11.04,2,"blue",1746,9,862,"P.N.E."
"902",902,902,902,"1967 BC",45.63,13.17,2,"red",1746,1,722,"P.N.E."
"903",903,903,903,"6 BC",49.97,14.01,3,"blue",1746,7,879,"P.N.E."
"904",904,904,904,"630",49.62,14.11,6,"green",1746,18,1097,"N.E."
"905",905,905,905,"1382 BC",40.17,12.88,30,"red",1746,7,1927,"P.N.E."
"906",906,906,906,"1316",48.01,14.04,5,"red",1746,17,1037,"N.E."
"907",907,907,907,"1887 BC",38.47,10.98,17,"red",1747,25,1762,"P.N.E."
"908",908,908,908,"1548",44.74,12.89,21,"green",1747,3,1529,"N.E."
"909",909,909,909,"1212",41.28,11.82,2,"green",1747,12,803,"N.E."
"910",910,910,910,"1088",38.17,15.05,9,"green",1747,2,884,"N.E."
"911",911,911,911,"1925 BC",45.29,12.66,2,"blue",1747,2,711,"P.N.E."
"912",912,912,912,"648",46.39,13.03,1,"red",1747,17,935,"N.E."
"913",913,913,913,"1154 BC",44.64,13.04,7,"red",1747,13,1111,"P.N.E."
"914",914,914,914,"606 BC",62.07,17.69,43,"red",1747,29,2914,"P.N.E."
"915",915,915,915,"958 BC",50.61,15.14,6,"blue",1747,19,1242,"P.N.E."
"916",916,916,916,"714 BC",38.17,12.35,9,"red",1747,18,1322,"P.N.E."
"917",917,917,917,"1628",42.77,12.09,5,"red",1747,0,790,"N.E."
"918",918,918,918,"1664",49.32,13.52,2,"green",1747,5,790,"N.E."
"919",919,919,919,"1139 BC",53.12,17.4,6,"green",1747,1,868,"P.N.E."
"920",920,920,920,"1245",34.31,11.26,0,"blue",1747,0,511,"N.E."
"921",921,921,921,"1529",49.22,13.65,8,"green",1747,11,1132,"N.E."
"922",922,922,922,"23 BC",39.62,10.95,0,"red",1747,17,955,"P.N.E."
"923",923,923,923,"1054 BC",47.39,14.04,8,"green",1747,15,1224,"P.N.E."
"924",924,924,924,"704",53.18,14.88,2,"red",1747,17,910,"N.E."
"925",925,925,925,"1785 BC",49.66,14.41,2,"red",1748,13,906,"P.N.E."
"926",926,926,926,"382",42.65,12.85,1,"red",1748,26,1152,"N.E."
"927",927,927,927,"245 BC",53.91,17.25,1,"red",1748,38,1402,"P.N.E."
"928",928,928,928,"1197 BC",50.76,14.42,17,"red",1748,13,1527,"P.N.E."
"929",929,929,929,"574",44.73,13.05,3,"green",1748,26,1127,"N.E."
"930",930,930,930,"1298",38.2,11.78,22,"blue",1748,0,1375,"N.E."
"931",931,931,931,"987 BC",41.37,11.58,6,"red",1748,39,1649,"P.N.E."
"932",932,932,932,"1260",46.52,12.76,5,"red",1748,3,751,"N.E."
"933",933,933,933,"423 BC",47.45,13.48,10,"green",1748,37,1671,"P.N.E."
"934",934,934,934,"1964 BC",54.21,16.82,6,"red",1748,36,1615,"P.N.E."
"935",935,935,935,"699",54.28,15.18,2,"red",1748,5,687,"N.E."
"936",936,936,936,"1300 BC",40.83,11.9,2,"red",1748,18,1003,"P.N.E."
"937",937,937,937,"799 BC",45.92,12.67,3,"red",1748,37,1439,"P.N.E."
"938",938,938,938,"1337 BC",50.29,14.76,2,"red",1748,34,1358,"P.N.E."
"939",939,939,939,"870 BC",63.76,19,3,"blue",1748,36,1446,"P.N.E."
"940",940,940,940,"1681 BC",41.16,13.97,7,"green",1748,32,1522,"P.N.E."
"941",941,941,941,"1117",59.11,17.81,6,"green",1748,7,897,"N.E."
"942",942,942,942,"1238 BC",61.19,17.9,0,"red",1748,26,1117,"P.N.E."
"943",943,943,943,"1694 BC",48.71,13.6,2,"red",1748,15,970,"P.N.E."
"944",944,944,944,"1035",39.68,11.89,25,"red",1748,31,2081,"N.E."
"945",945,945,945,"162 BC",53.91,14.85,0,"blue",1748,18,937,"P.N.E."
"946",946,946,946,"31",51.56,14.67,0,"red",1748,40,1377,"N.E."
"947",947,947,947,"1330",48.26,14.21,1,"red",1748,5,613,"N.E."
"948",948,948,948,"497",40.02,13.56,5,"blue",1748,13,1067,"N.E."
"949",949,949,949,"1233",49.71,14.89,14,"red",1749,13,1306,"N.E."
"950",950,950,950,"712",53.12,14.78,8,"blue",1749,9,1008,"N.E."
"951",951,951,951,"335",42.74,12.73,8,"red",1749,19,1330,"N.E."
"952",952,952,952,"1415",53.28,14.95,18,"black",1749,38,1989,"N.E."
"953",953,953,953,"630 BC",48.07,15.23,14,"red",1749,28,1691,"P.N.E."
"954",954,954,954,"1116 BC",54.64,15.82,10,"red",1749,29,1607,"P.N.E."
"955",955,955,955,"274",43.95,12.97,22,"red",1749,4,1576,"N.E."
"956",956,956,956,"123 BC",44.21,14.37,6,"red",1749,33,1498,"P.N.E."
"957",957,957,957,"641 BC",55.73,15.86,3,"blue",1749,6,834,"P.N.E."
"958",958,958,958,"1583",44.79,15.72,13,"red",1749,22,1585,"N.E."
"959",959,959,959,"446 BC",44.8,12.94,12,"blue",1749,15,1367,"P.N.E."
"960",960,960,960,"805 BC",42.88,12.76,17,"green",1749,24,1751,"P.N.E."
"961",961,961,961,"469",52.3,14.36,19,"red",1749,25,1835,"N.E."
"962",962,962,962,"1173",38.58,13.55,8,"red",1749,14,1107,"N.E."
"963",963,963,963,"1020",48.77,13.62,4,"green",1749,5,764,"N.E."
"964",964,964,964,"1744 BC",49.73,14.25,36,"green",1749,23,2514,"P.N.E."
"965",965,965,965,"665",43.33,12.99,10,"blue",1749,5,989,"N.E."
"966",966,966,966,"1306 BC",33.99,9.76,6,"blue",1749,25,1364,"P.N.E."
"967",967,967,967,"865 BC",37.9,10.46,3,"red",1749,2,775,"P.N.E."
"968",968,968,968,"1091 BC",47.57,14.45,11,"red",1749,14,1335,"P.N.E."
"969",969,969,969,"935 BC",45.28,13.69,22,"blue",1749,29,2030,"P.N.E."
"970",970,970,970,"1243",40.43,11.37,27,"blue",1749,29,2145,"N.E."
"971",971,971,971,"566",44.46,12.23,16,"green",1749,1,1174,"N.E."
"972",972,972,972,"1848 BC",42.9,13.08,10,"blue",1749,40,1789,"P.N.E."
"973",973,973,973,"1714",45.81,12.89,46,"blue",1750,7,2568,"N.E."
"974",974,974,974,"795 BC",43.84,12.36,1,"blue",1750,21,1036,"P.N.E."
"975",975,975,975,"1220 BC",37.76,16.62,1,"blue",1750,34,1338,"P.N.E."
"976",976,976,976,"1263 BC",48.96,13.51,27,"red",1750,30,2289,"P.N.E."
"977",977,977,977,"111",51.87,14.41,9,"red",1750,14,1260,"N.E."
"978",978,978,978,"1797",44.39,12.53,7,"red",1750,12,1118,"N.E."
"979",979,979,979,"1082 BC",52.58,14.9,15,"red",1750,10,1403,"P.N.E."
"980",980,980,980,"700",40.29,12.28,18,"green",1750,7,1351,"N.E."
"981",981,981,981,"951 BC",49.88,14.38,0,"red",1750,5,703,"P.N.E."
"982",982,982,982,"947 BC",53.36,14.92,23,"red",1750,36,2257,"P.N.E."
"983",983,983,983,"53 BC",42.53,12.66,19,"red",1750,13,1621,"P.N.E."
"984",984,984,984,"1775 BC",41.95,13.14,5,"green",1750,12,1014,"P.N.E."
"985",985,985,985,"1166",38.88,13.47,8,"blue",1750,30,1451,"N.E."
"986",986,986,986,"1559",52.65,14.86,18,"red",1751,16,1658,"N.E."
"987",987,987,987,"110",46.88,12.84,2,"red",1751,8,824,"N.E."
"988",988,988,988,"717 BC",50.52,14.98,35,"blue",1751,24,2489,"P.N.E."
